Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
dolphinkickme,9,4,0,0,17,4.25,2,2,2,3,8,0,0,17,2.125,84.625,2,0.25,2,6,0,12,2,1,0.166667,0,0,83,1,0,2,2,0,0,0,0,79,0,0,0,0,0,0,0,0,0,1,9,3,3,1,1,0,0,100,6,11,1.83333,65,2,1,3,5,1,1.66667,59.3333,1,3,6,1,2,70.6667,0,0,0,0,0,0,0,
azzman,9,3,9,3,14,4.66667,3,2,2,0,6,9,1.5,14,2.33333,81.8333,3,0.5,0,1,0,2,2,0,0,0,0,72,3,6,8,2.66667,2,0.666667,2,0.666667,90,1,3,3,3,1,1,1,1,100,1,9,1,1,0,0,0,0,49,5,10,2,83.2,1,0,5,10,1,2,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
C3,9,6,17,2.83333,29,4.83333,6,6,12,0,12,17,1.41667,29,2.41667,92.3333,6,0.5,0,5,5,10,2,1,0.2,0,0,85.2,6,9,16,2.66667,4,0.666667,2,0.333333,97,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,17,32,1.88235,69.6471,2,0,15,29,2,1.93333,73.2,0,0,0,0,0,0,0,2,3,0,1.5,43,0,
Blaine,9,2,9,4.5,9,4.5,3,4,0,0,4,9,2.25,9,2.25,83.75,3,0.75,0,4,9,9,2.25,3,0.75,0,0,83.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,69,0,0,1,2,0,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,
vtechno,9,3,8,2.66667,12,4,2,5,2,1,6,8,1.33333,12,2,83.8333,2,0.333333,1,4,2,6,1.5,0,0,1,0.25,75.75,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,74.25,0,0,3,6,0,2,71.3333,0,1,2,0,2,83,0,0,0,0,0,0,0,
Atlas,10,4,11,2.75,18,4.5,4,5,3,0,8,11,1.375,18,2.25,83.625,4,0.5,0,0,0,0,0,0,0,0,0,0,4,5,9,2.25,2,0.5,2,0.5,76,4,6,9,2.25,2,0.5,0,0,91.25,0,0,0,0,0,0,0,0,0,6,10,1.66667,63.1667,1,1,5,10,1,2,74.2,0,0,0,0,0,0,0,1,0,0,0,8,1,
Chezwick,10,3,8,2.66667,11,3.66667,2,3,2,1,6,8,1.33333,11,1.83333,69,2,0.333333,0,0,0,0,0,0,0,0,0,0,4,8,10,2.5,2,0.5,3,0.75,79.25,0,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,48.5,5,6,1.2,56.6,1,2,3,5,1,1.66667,67,1,1,0,0,0,34,1,1,1,0,1,48,0,
H,9,1,3,3,5,5,1,0,0,1,2,3,1.5,5,2.5,86.5,1,0.5,0,1,0,2,2,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,3,1,1,1,1,100,1,3,3,100,1,0,0,0,0,0,0,0,1,3,1,3,100,0,0,0,0,0,0,0,
Heiny the Great,9,7,17,2.42857,34,4.85714,6,4,2,1,14,17,1.21429,34,2.42857,91.5,6,0.428571,2,8,8,18,2.25,2,0.25,3,0.375,90.5,4,9,11,2.75,3,0.75,1,0.25,97.25,0,0,0,0,0,0,0,0,0,2,12,5,2.5,1,0.5,0,0,84,8,20,2.5,90.25,5,0,7,17,4,2.42857,88.8571,0,1,3,1,3,100,0,0,0,0,0,0,0,
Khaos,9,2,6,3,9,4.5,2,2,0,0,4,6,1.5,9,2.25,86.75,2,0.5,0,0,0,0,0,0,0,0,0,0,3,3,6,2,1,0.333333,1,0.333333,82.3333,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,2,4,2,69.5,0,0,2,4,0,2,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
